user,tweets,openness,conscientiousness,extraversion,agreeableness,neuroticism
497145453,100668,,,,,
2924224280,64015,,,,,
1484740038,62640,,,,,
2421024865,47955,0.26239941365992614,0.2635452896299959,0.314777938057076,0.46821868975236636,0.09879910044731077
2306464862,46134,0.6137807371708689,0.8065618648771453,0.6046900492875884,0.7913238422602531,0.2670239179384088
2586094238,45300,0.5887398960424787,0.2205488643658725,0.35159998571213813,0.278332038917941,0.3067935784404365
2332340406,40589,0.6379749648231046,0.8492647886960083,0.893429285220733,0.9513085922321569,0.7493137535201256
1602852614,39288,0.9699673374272861,0.2611781730156413,0.4656047788721308,0.35397579075591934,0.49801243327594513
88164343,37180,0.04540548791258664,0.08204616547276566,0.10765594388845984,0.02024182476018599,0.1142496373541117
2851626845,36765,0.4642997387805281,0.19381102300956293,0.538585409681572,0.1669861560614349,0.27980484702551744
324481619,34820,0.9575025774315209,0.3901398520495364,0.3056586037320891,0.36105669430659326,0.897232610024783
2336388023,32258,0.8534835255647777,0.6287759223402891,0.7756559857160272,0.10781244405987134,0.9643558041148634
388009236,31692,0.6250172769403665,0.2376622872243045,0.4375353890023466,0.291451301036318,0.6049141687477357
2595995856,30718,0.7813907789517376,0.15693011263656403,0.8631578657257226,0.6084668586175588,0.150350305143785
2252314255,28898,0.4166558275259503,0.32866210332006995,0.5014766840611896,0.23279812049542048,0.4715403653808676
3048871293,28622,0.24466708873918513,0.2591825448288416,0.6886762282738217,0.01712047226042346,0.6858573565550394
2587789764,27525,0.485239389938914,0.2271495878891246,0.31972751301429236,0.3261029033941265,0.06985124693945716
1589692776,26998,0.8035162474395439,0.4516355786513937,0.2352905553622623,0.2397539237897005,0.8535797837318444
176981297,23022,0.711523210995996,0.06867709989057974,0.6608749018864294,0.10931251401178899,0.06867648823317551
2361533634,22290,0.8221654472598265,0.06220351026813142,0.69736482836945,0.094883550099094,0.5895567634696423
2267831660,22206,0.5092542393342437,0.9393563139110489,0.9827527211490923,0.8176682584420142,0.298189006190755
1266803563,22058,0.37123646648088593,0.16131631582915268,0.4545219937626953,0.2319894200997823,0.17716847760144627
2559333156,22037,0.8530125444512765,0.38629586998412163,0.1701811862897734,0.05339074635258112,0.5417675973266928
2327706649,21824,0.0703403828920926,0.19742181029904093,0.3681370561809504,0.2890618819477178,0.08331241429517594
2362771358,21649,0.7311293905372425,0.38782995343245574,0.1464595665038117,0.1454917712312211,0.6183586806010035
2841269945,21352,0.9020508480051002,0.26970145002345947,0.40523988024891183,0.33725021729238014,0.6008324427765239
180365358,20513,0.5376933754939034,0.3320981206476723,0.3833155834111257,0.2617754278264063,0.18568518967768083
631133874,20334,0.8735949803530074,0.4822000655642414,0.44508732709867477,0.7076220269582869,0.8230829518136074
1606906374,19059,0.8457889148465068,0.27370166920864925,0.5009319146036667,0.3953963911477134,0.272118012395944
253142088,18567,0.845585468682051,0.29663773862015536,0.5611399521478284,0.39478498160735936,0.530598586841276
37402072,18206,0.6050659818030149,0.45898843512510606,0.47162958458270327,0.013003529536701641,0.9451040323269551
1544159024,17580,0.0725615463719605,0.2253007519981685,0.32428190172567595,0.27045881012538425,0.20806688054896288
2485811094,17470,0.9999926369226422,0.5151333878583901,0.8522119737439031,0.8766735991922889,0.22255323478473565
870560696,17247,0.8653034639356211,0.26452916875093113,0.38992036292104426,0.28374527432769464,0.18750608447794304
2810074439,17101,0.34181674408256435,0.39929836752384956,0.5819973716857745,0.13770287228032563,0.2741735857185244
485013829,17084,0.5662509608429761,0.22239882868170557,0.36442544606505933,0.27999354988339226,0.2905827861897566
28918980,16282,0.7504796015167212,0.7730185658241703,0.9013119426118681,0.7197971305874213,0.9070538869806228
64928068,16219,0.9672410415971529,0.23473753208328213,0.03886254163353342,0.2806981498348048,0.21644030493175898
211252248,15984,0.921368348136008,0.0335903290999795,0.1356577998989416,0.11922413971895596,0.33184581549800213
2654767718,15577,0.05434602566027458,0.2924330033710101,0.3595678220723103,0.2520929242928035,0.16130502195868462
467866396,15456,0.28298627794945264,0.24374899746664203,0.45913530985309836,0.21058427522197037,0.7323526873723767
1205532768,15405,0.7424645231077426,0.4494013177445142,0.40617059685062085,0.36504025532501705,0.4521937277930263
459921054,15364,0.3301788471392316,0.6956117553440755,0.1269322747627331,0.41847045286315027,0.0032056063742414986
1606472113,15195,0.980406899803633,0.249534364172581,0.3180247405482326,0.29965562610866026,0.40168168053590086
317680173,15120,0.2798527864109184,0.22597264293714459,0.37327872838301646,0.26384496761704535,0.5233654645712318
349636885,15024,0.5924110933574869,0.39263995081778075,0.6139952349224113,0.4018365787801309,0.23281233454365857
2471647363,14620,0.9967817006058806,0.5938698918608813,0.1811264447904214,0.12208185606540334,0.2810188617243582
284534859,14570,0.9157996383498722,0.7001193586606117,0.930061687045613,0.5645806762705761,0.7977046772518606
54988729,14490,0.8045097973394514,0.42714490790561166,0.3175240473907941,0.3262656453288831,0.5552239612616835
941509892,14292,0.3254710576737825,0.2236127789489471,0.37274948731687796,0.2679223176002476,0.5229575665232225
1898258479,14203,0.6783528196000238,0.25365395734605467,0.26737384722770063,0.36804549971951717,0.24023527213786916
2842684723,14156,0.3422018278794063,0.23701562714673702,0.6373559027103397,0.17005820516993803,0.38810824708789116
